"Tree size (cm DBH)","Threshold point (% crown vol damage)","Mean predicted cone count [±1SE] at 5% crown vol damage","Mean predicted cone count [±1SE] at threshold point","Mean predicted cone count [±1SE] at 50% crown vol damage","Mean predicted cone count [±1SE] at 95% crown vol damage","Percent change in cone count (threshold point vs. 
           5% crown vol damage)","Percent change in cone count (50% vs. 5% crown vol damage)","Percent change in cone count (95% crown vol damage vs. 
           threshold point)","Percent change in cone count (95% vs. 50% crown vol damage)","Percent change in cone count (95% vs. 5% crown vol damage)"
"10th percentile (47.1)","  NA","5 [3, 8]","NA [NA, NA]","2 [1, 2]","2 [2, 4]",NA,-70.1,NA,51.1,-54.8
"50th percentile (68.1)","37.6","23 [18, 30]","18 [14, 22]","15 [12, 18]","6 [4, 8]",-25.2,-37.5,-66.4,-59.7,-74.8
"90th percentile (106.7)","37.6","45 [33, 63]","65 [46, 92]","62 [43, 88]","25 [15, 41]",43.3,35.8,-61.5,-59.4,-44.9
