"Tree size (cm DBH)","Threshold point (% crown vol damage)","Mean predicted cone count [±1SE] at 5% crown vol damage","Mean predicted cone count [±1SE] at threshold point","Mean predicted cone count [±1SE] at 50% crown vol damage","Mean predicted cone count [±1SE] at 95% crown vol damage","Percent change in cone count (threshold point vs. 
           5% crown vol damage)","Percent change in cone count (50% vs. 5% crown vol damage)","Percent change in cone count (95% crown vol damage vs. 
           threshold point)","Percent change in cone count (95% vs. 50% crown vol damage)","Percent change in cone count (95% vs. 5% crown vol damage)"
"10th percentile (47.1)","15.0","17 [12, 26]","16 [12, 23]","13 [9, 18]","13 [7, 24]",-6.4,-24.8,-20.6,-1.2,-25.7
"50th percentile (65.0)","30.1","17 [12, 23]","26 [21, 34]","21 [16, 27]","3 [2, 6]",58.9,25,-87,-83.5,-79.3
"90th percentile (91.3)","30.0","17 [13, 23]","26 [19, 34]","23 [17, 32]","8 [4, 16]",48,33.2,-68.8,-65.3,-53.8
