"Tree size (cm DBH)","Threshold point (% crown vol damage)","Mean predicted cone count [±1SE] at 5% crown vol damage","Mean predicted cone count [±1SE] at threshold point","Mean predicted cone count [±1SE] at 50% crown vol damage","Mean predicted cone count [±1SE] at 95% crown vol damage","Percent change in cone count (threshold point vs. 
           5% crown vol damage)","Percent change in cone count (50% vs. 5% crown vol damage)","Percent change in cone count (95% crown vol damage vs. 
           threshold point)","Percent change in cone count (95% vs. 50% crown vol damage)","Percent change in cone count (95% vs. 5% crown vol damage)"
"10th percentile (48.6)","25.0","3 [2, 5]","3 [2, 5]","3 [2, 5]","3 [1, 5]",17.1,14.9,-23.9,-22.4,-10.8
"50th percentile (65.4)","25.0","7 [5, 10]","7 [5, 10]","6 [4, 9]","4 [2, 7]",5.5,-9.2,-47.3,-38.7,-44.3
"90th percentile (106.7)","25.0","37 [26, 51]","30 [22, 40]","19 [13, 27]","6 [3, 14]",-18.4,-49.1,-78.6,-65.7,-82.5
