"Tree size (cm DBH)","Threshold point (% crown vol damage)","Mean predicted cone count [±1SE] at 5% crown vol damage","Mean predicted cone count [±1SE] at 50% crown vol damage","Mean predicted cone count [±1SE] at threshold point","Mean predicted cone count [±1SE] at 95% crown vol damage","Percent change in cone count (50% vs. 5% crown vol damage)","Percent change in cone count (threshold point vs. 
           5% crown vol damage)","Percent change in cone count (95% vs. 50% crown vol damage)","Percent change in cone count (95% crown vol damage vs. 
           threshold point)","Percent change in cone count (95% vs. 5% crown vol damage)"
"10th percentile (47.2)","60.0","7 [5, 10]","15 [11, 21]","14 [10, 19]","2 [1, 3]",125.1,109,-87.3,-86.3,-71.4
"50th percentile (66.7)","59.9","13 [10, 17]","23 [17, 32]","20 [15, 27]","2 [1, 3]",81.8,56.4,-91.6,-90.3,-84.8
"90th percentile (96.4)","55.1","37 [25, 54]","44 [30, 63]","39 [27, 57]","2 [1, 4]",18.2,6.7,-95.4,-94.9,-94.6
